id,Apellido,Nombre,DNI,FechaNacimiento,Telefono,Email,ObraSocial,NroCredencial
43,Torres,Agustin,24602776,11/07/1986,11002378911,agustin.torres@hotmail.com,Omint,667820058896
44,Garcia,Mariano,31204327,03/03/1948,11212319753,mariano.garcia@gmail.com,Sancor Salud,703835138415
45,Garcia,Maria,38579993,15/07/1975,11993372496,maria.garcia@hotmail.com,PAMI,333200357944
46,Garcia,Luis,35399545,26/04/1983,11129662413,luis.garcia@gmail.com,Omint,406946038837
47,Sanchez,Cecilia,21172989,23/08/1959,11493968437,cecilia.sanchez@outlook.com,Medife,402650834278
48,Rojas,Ricardo,43212075,01/06/1967,11033160512,ricardo.rojas@yahoo.com,Sancor Salud,963675578603
49,Garcia,Mariano,43793940,25/05/1968,11815155543,mariano.garcia@gmail.com,Galeno,970447845455
50,Silva,Jorge,20170754,09/03/1968,11967755189,jorge.silva@outlook.com,OSDE,598749639955
51,Fernandez,Esteban,46639569,15/08/1980,11228250638,esteban.fernandez@yahoo.com,Sancor Salud,555526152033
52,Diaz,Juan,46766638,17/04/1964,11413164400,juan.diaz@outlook.com,PAMI,990142117982
53,Dominguez,Victoria,35991341,21/11/1946,11970473115,victoria.dominguez@outlook.com,OSDE,827149354280
54,Suarez,Ricardo,35757541,19/08/1989,11159215334,ricardo.suarez@yahoo.com,Swiss Medical,810967005625
55,Suarez,Victoria,47776161,02/10/1990,11705723549,victoria.suarez@hotmail.com,OSDE,268623928647
56,Molina,Paula,22369371,19/05/1943,11800958614,paula.molina@outlook.com,Medife,876758274860
57,Garcia,Jorge,24859594,16/11/1995,11745639137,jorge.garcia@gmail.com,OSDE,224411371618
58,Lopez,Noelia,25016865,16/09/2002,11011936973,noelia.lopez@yahoo.com,Sancor Salud,622056229910
59,Martinez,Noelia,30557693,14/11/2004,11634890527,noelia.martinez@hotmail.com,Medife,503163467616
60,Romero,Juan,22858374,29/10/1989,11738951851,juan.romero@hotmail.com,Medife,793393889130
61,Martinez,Maria,34490637,07/01/1999,11372126537,maria.martinez@outlook.com,Medife,141506929151
62,Molina,Maria,35527579,03/06/1953,11906229539,maria.molina@yahoo.com,Swiss Medical,283031207991
63,Rodriguez,Carlos,24775468,05/04/1992,11820845520,carlos.rodriguez@outlook.com,Swiss Medical,340635014558
64,Castro,Elena,29064479,27/02/2000,11544260212,elena.castro@gmail.com,Medife,171692336286
65,Lopez,Camila,40239206,03/06/1977,11889828902,camila.lopez@outlook.com,Accord Salud,388444397706
66,Rodriguez,Ana,23607930,09/10/1955,11768087470,ana.rodriguez@gmail.com,OSDE,187905643920
67,Ruiz,Ana,41176487,07/11/1994,11569178586,ana.ruiz@hotmail.com,OSDE,804897991015
68,Suarez,Lucia,28046247,10/04/1949,11526995331,lucia.suarez@hotmail.com,Omint,656747901087
69,Rodriguez,Ana,34833526,14/09/1962,11414938034,ana.rodriguez@hotmail.com,Accord Salud,728087108299
70,Castro,Maria,38510074,25/04/2004,11162881583,maria.castro@hotmail.com,Accord Salud,672775682917
71,Sanchez,Noelia,27960764,23/02/1987,11621012590,noelia.sanchez@gmail.com,Sancor Salud,485969993131
72,Molina,Esteban,36341036,16/01/1989,11675594658,esteban.molina@outlook.com,Swiss Medical,913614219361
73,Alvarez,Ana,42100579,03/05/1946,11662033856,ana.alvarez@gmail.com,Medife,754627180165
74,Silva,Paula,20111131,20/07/1998,11025259320,paula.silva@gmail.com,Omint,614082443911
75,Suarez,Esteban,33106607,30/07/1956,11079062632,esteban.suarez@gmail.com,Omint,868998582945
76,Dominguez,Luis,42827448,23/08/1977,11286710934,luis.dominguez@yahoo.com,Accord Salud,654367228765
77,Alvarez,Laura,26755026,04/09/1987,11920257800,laura.alvarez@yahoo.com,OSDE,983571340247
78,Sanchez,Maria,48997366,26/10/1984,11284729018,maria.sanchez@hotmail.com,PAMI,870339937386
79,Ramirez,Sofia,48076267,22/07/1967,11900204788,sofia.ramirez@gmail.com,Sancor Salud,400362095122
80,Perez,Juan,21972513,17/08/1975,11671805638,juan.perez@outlook.com,Medife,886007120558
81,Silva,Cecilia,24289873,07/02/1972,11676766416,cecilia.silva@yahoo.com,Accord Salud,134559678797
82,Silva,Esteban,40058424,18/08/1946,11198825911,esteban.silva@gmail.com,Omint,849628632680
83,Dominguez,Sofia,31016930,08/11/1964,11544715993,sofia.dominguez@yahoo.com,Galeno,608456741576
84,Ramirez,Sofia,49023063,06/06/1963,11407693597,sofia.ramirez@gmail.com,Swiss Medical,512478806737
85,Rojas,Sofia,36406720,23/04/1985,11466271769,sofia.rojas@outlook.com,Omint,741828370912
86,Castro,Sofia,42182985,04/05/1998,11092185673,sofia.castro@outlook.com,Accord Salud,113719519899
87,Diaz,Camila,42888610,20/03/1968,11080248539,camila.diaz@hotmail.com,Accord Salud,761194517822
88,Sanchez,Victoria,22273791,21/08/1971,11330532771,victoria.sanchez@hotmail.com,Medife,287626693675
89,Dominguez,Sofia,44070548,01/12/1979,11340695474,sofia.dominguez@hotmail.com,Sancor Salud,301231157504
90,Ramirez,Sofia,40240083,10/07/1999,11098171361,sofia.ramirez@yahoo.com,OSDE,175869773566
91,Garcia,Cecilia,28845623,06/07/1942,11108550110,cecilia.garcia@hotmail.com,Medife,425159748255
92,Ruiz,Noelia,45944021,31/12/1955,11362702623,noelia.ruiz@outlook.com,OSDE,452832420070
93,Ramirez,Sofia,23733587,23/02/1980,11538630828,sofia.ramirez@gmail.com,Accord Salud,923281805978
94,Castro,Paula,48292847,17/05/1960,11713466933,paula.castro@hotmail.com,Sancor Salud,307088452631
95,Silva,Lucia,38070432,30/05/1969,11593865214,lucia.silva@gmail.com,Omint,535053841658
96,Sanchez,Jorge,42583311,27/07/1953,11881226527,jorge.sanchez@gmail.com,Swiss Medical,562362660672
97,Lopez,Jorge,37613040,22/05/1979,11660595712,jorge.lopez@yahoo.com,OSDE,656818838747
98,Suarez,Ricardo,47655753,28/02/1954,11369886396,ricardo.suarez@gmail.com,Accord Salud,492127106921
99,Castro,Elena,31018626,02/06/1949,11099821034,elena.castro@yahoo.com,Omint,999873197231
100,Silva,Paula,46222564,05/12/1942,11955487829,paula.silva@outlook.com,Galeno,128677920723
101,Perez,Cecilia,23297425,24/12/1969,11683073515,cecilia.perez@yahoo.com,Galeno,392423524864
102,Torres,Victoria,45513728,19/01/1954,11083990673,victoria.torres@outlook.com,Swiss Medical,785070168670
103,Suarez,Diego,35296719,18/08/1950,11753575912,diego.suarez@yahoo.com,OSDE,727418284058
104,Fernandez,Cecilia,23608708,14/10/1994,11990678150,cecilia.fernandez@outlook.com,Galeno,799877738503
105,Silva,Noelia,23863503,25/05/2003,11629912376,noelia.silva@hotmail.com,PAMI,592969144654
106,Rodriguez,Sofia,48918765,18/01/1970,11899587433,sofia.rodriguez@hotmail.com,OSDE,379698709610
107,Perez,Mariano,36777183,04/03/1974,11217695154,mariano.perez@outlook.com,Omint,856368348289
108,Sanchez,Noelia,28270637,01/04/1960,11418243695,noelia.sanchez@outlook.com,Accord Salud,569486833826
109,Alvarez,Noelia,36066808,08/03/1980,11765573638,noelia.alvarez@yahoo.com,Galeno,437620737838
110,Rojas,Ana,31982442,15/07/1943,11626628409,ana.rojas@yahoo.com,Sancor Salud,967494700523
111,Lopez,Paula,48614933,25/02/1999,11188190764,paula.lopez@gmail.com,Omint,487887520187
112,Dominguez,Jorge,32730665,21/10/1976,11339661180,jorge.dominguez@hotmail.com,Sancor Salud,479014043893
113,Fernandez,Ana,24061758,06/03/1994,11909143317,ana.fernandez@yahoo.com,Omint,498612954890
114,Torres,Carlos,32379115,10/09/1976,11543359633,carlos.torres@gmail.com,Sancor Salud,968564610004
115,Sanchez,Noelia,37174619,21/08/1966,11387149607,noelia.sanchez@gmail.com,Galeno,882263093734
116,Alvarez,Diego,28561999,04/09/1953,11269525834,diego.alvarez@yahoo.com,Omint,577885298344
117,Molina,Ricardo,31732414,08/10/1987,11847249887,ricardo.molina@gmail.com,Omint,412100902517
118,Lopez,Cecilia,43551210,22/10/1981,11418572214,cecilia.lopez@hotmail.com,PAMI,476283139692
119,Gomez,Carlos,39509381,14/07/2002,11456128744,carlos.gomez@gmail.com,Accord Salud,284574158008
120,Alvarez,Elena,21231778,05/01/1975,11757845035,elena.alvarez@outlook.com,Omint,283129263140
121,Molina,Cecilia,32768034,17/03/1995,11943459749,cecilia.molina@hotmail.com,OSDE,379829811488
122,Ramirez,Carlos,26208521,27/11/1942,11928459784,carlos.ramirez@yahoo.com,PAMI,400122941453
123,Alvarez,Agustin,29003582,24/12/1951,11830697162,agustin.alvarez@gmail.com,PAMI,656732500249
124,Ramirez,Diego,41042785,21/06/1951,11070809661,diego.ramirez@hotmail.com,Accord Salud,246313799275
125,Ruiz,Maria,43511224,27/03/2005,11684529934,maria.ruiz@hotmail.com,PAMI,705299217465
126,Suarez,Ricardo,28844608,20/07/2003,11943795066,ricardo.suarez@yahoo.com,PAMI,815514480562
127,Diaz,Esteban,48458880,06/06/1956,11088495030,esteban.diaz@outlook.com,Sancor Salud,372370583035
128,Romero,Elena,36873426,02/12/1957,11238766214,elena.romero@hotmail.com,Omint,550592205902
129,Lopez,Diego,20400590,30/05/1960,11653955865,diego.lopez@outlook.com,Galeno,525708238492
130,Sanchez,Ana,20310257,25/10/1989,11623198844,ana.sanchez@yahoo.com,Swiss Medical,150475349878
131,Ruiz,Noelia,33594268,16/04/1966,11552435982,noelia.ruiz@gmail.com,PAMI,803173327305
132,Ramirez,Sofia,44256397,30/08/1996,11067035306,sofia.ramirez@outlook.com,Swiss Medical,914032800175
133,Ramirez,Ana,48122063,20/12/1948,11566861799,ana.ramirez@gmail.com,PAMI,575091048304
134,Sanchez,Diego,22240400,21/12/1998,11267491276,diego.sanchez@gmail.com,Medife,876718829320
135,Castro,Diego,29249583,16/12/1967,11378285059,diego.castro@gmail.com,Medife,219601733872
136,Martinez,Carlos,49649126,14/03/1955,11289012701,carlos.martinez@gmail.com,Swiss Medical,663069300300
137,Ruiz,Diego,27704219,17/08/1973,11938561265,diego.ruiz@yahoo.com,Galeno,184320366492
138,Suarez,Paula,24090162,01/07/1990,11707818444,paula.suarez@yahoo.com,OSDE,744430189794
139,Castro,Jorge,44672084,17/08/1976,11916091124,jorge.castro@outlook.com,Sancor Salud,854882430339
140,Rojas,Victoria,25596757,28/10/1993,11329765492,victoria.rojas@gmail.com,OSDE,500154702614
141,Ramirez,Paula,40358085,03/09/1997,11323828356,paula.ramirez@gmail.com,Galeno,220245522850
142,Diaz,Sofia,44878096,13/01/1954,11857185021,sofia.diaz@hotmail.com,Sancor Salud,250188845213
143,Gomez,Diego,25337185,12/02/1948,11432871972,diego.gomez@outlook.com,Swiss Medical,651687616613
144,Romero,Laura,24365336,18/12/1956,11644466890,laura.romero@yahoo.com,Sancor Salud,512083409681
145,Alvarez,Esteban,30724841,31/12/1955,11192616983,esteban.alvarez@outlook.com,Swiss Medical,509008278360
146,Suarez,Jorge,26880503,19/01/1944,11346951744,jorge.suarez@hotmail.com,Swiss Medical,782182261900
147,Diaz,Luis,46986777,10/01/1958,11459436013,luis.diaz@yahoo.com,Swiss Medical,217456831655
148,Ramirez,Maria,30510002,02/06/1988,11349836280,maria.ramirez@outlook.com,Sancor Salud,894692717233
149,Lopez,Esteban,38596480,01/08/1944,11961836613,esteban.lopez@gmail.com,OSDE,269722384436
150,Ruiz,Ricardo,47471005,29/05/1950,11695429508,ricardo.ruiz@gmail.com,Sancor Salud,833402272927
151,Martinez,Cecilia,31771998,15/08/1976,11233140650,cecilia.martinez@outlook.com,Galeno,516049102897
152,Martinez,Luis,25964657,03/11/1992,11118716555,luis.martinez@hotmail.com,Accord Salud,273439900649
153,Garcia,Victoria,29213948,01/12/1954,11193591434,victoria.garcia@outlook.com,Sancor Salud,684283215423
154,Ramirez,Cecilia,44813725,22/08/1970,11040057593,cecilia.ramirez@yahoo.com,Omint,344381406269
155,Lopez,Diego,20701079,14/10/1967,11887950854,diego.lopez@gmail.com,PAMI,843354000920
156,Romero,Jorge,45542436,31/07/1978,11182174107,jorge.romero@gmail.com,Swiss Medical,967879353639
157,Rojas,Paula,33485912,20/12/1958,11895622322,paula.rojas@hotmail.com,Galeno,934186080292
158,Rodriguez,Ana,38651031,03/08/1968,11532682008,ana.rodriguez@gmail.com,OSDE,342933506713
159,Lopez,Sofia,27227441,15/07/1986,11004355877,sofia.lopez@gmail.com,Omint,836467307036
160,Rodriguez,Cecilia,48507436,06/10/1975,11164747178,cecilia.rodriguez@gmail.com,Omint,970036938947
161,Lopez,Camila,33613694,11/02/2005,11908036294,camila.lopez@yahoo.com,Sancor Salud,217330607641
162,Sanchez,Esteban,23115133,08/06/1987,11879003451,esteban.sanchez@gmail.com,Omint,925621874985
163,Suarez,Camila,36995868,04/02/1951,11233556816,camila.suarez@gmail.com,Sancor Salud,599828891282
164,Gomez,Ricardo,42248835,09/08/1994,11612366252,ricardo.gomez@hotmail.com,PAMI,778376362390
165,Suarez,Ana,36465258,27/04/1966,11538144048,ana.suarez@gmail.com,Medife,368565378668
166,Lopez,Mariano,31628567,15/07/1948,11626983941,mariano.lopez@gmail.com,OSDE,998983194858
167,Alvarez,Noelia,20451684,02/07/1990,11218146544,noelia.alvarez@yahoo.com,Swiss Medical,506728993369
168,Molina,Diego,26077478,17/01/1969,11256482803,diego.molina@hotmail.com,Galeno,741554931795
169,Silva,Juan,31943243,15/09/1988,11533763449,juan.silva@yahoo.com,Accord Salud,182759772679
170,Torres,Camila,29884334,12/10/1981,11610199581,camila.torres@outlook.com,Medife,304873398812
171,Silva,Laura,37108162,09/02/1975,11970573596,laura.silva@gmail.com,Sancor Salud,900145848494
172,Molina,Camila,33913982,10/02/1973,11199185784,camila.molina@gmail.com,Medife,113407409415
173,Perez,Elena,29460821,31/12/2004,11873467394,elena.perez@yahoo.com,OSDE,576429236674
174,Rojas,Esteban,30394670,03/06/1974,11988593125,esteban.rojas@gmail.com,Swiss Medical,179782723226
175,Fernandez,Laura,33724137,03/12/1949,11727845164,laura.fernandez@gmail.com,Accord Salud,391475201207
176,Rodriguez,Sofia,48671986,11/12/1945,11969728520,sofia.rodriguez@gmail.com,Medife,440956313327
177,Garcia,Mariano,29481955,14/05/1994,11812931129,mariano.garcia@outlook.com,PAMI,647296804713
178,Rojas,Ricardo,43510773,16/05/1995,11207561303,ricardo.rojas@outlook.com,Sancor Salud,908413083026
179,Garcia,Mariano,25925719,28/05/1940,11375929873,mariano.garcia@gmail.com,PAMI,977692924712
180,Sanchez,Noelia,44099718,07/05/1945,11181239086,noelia.sanchez@yahoo.com,OSDE,569646311464
181,Sanchez,Agustin,38801265,30/08/1945,11050865599,agustin.sanchez@yahoo.com,Swiss Medical,704485389194
182,Ramirez,Sofia,27584684,01/06/1993,11910100310,sofia.ramirez@yahoo.com,PAMI,392553792565
183,Dominguez,Victoria,26142561,30/08/2004,11540885246,victoria.dominguez@outlook.com,Swiss Medical,258263196198
184,Gomez,Cecilia,22638911,01/03/2000,11276463851,cecilia.gomez@gmail.com,Swiss Medical,349566219716
185,Diaz,Jorge,26088778,29/01/1977,11690729939,jorge.diaz@yahoo.com,Accord Salud,783286657413
186,Gomez,Victoria,46130048,09/11/1950,11592236789,victoria.gomez@yahoo.com,PAMI,464114258838
187,Rojas,Luis,40989921,30/01/1961,11007421442,luis.rojas@hotmail.com,Sancor Salud,772904219428
188,Ruiz,Esteban,32862226,27/06/1957,11670323546,esteban.ruiz@hotmail.com,Omint,292464465165
189,Rodriguez,Mariano,37538167,29/03/1953,11275315020,mariano.rodriguez@outlook.com,Medife,130347072430
190,Diaz,Sofia,37946756,19/07/1979,11422898012,sofia.diaz@outlook.com,PAMI,590981593369
191,Romero,Victoria,30442385,20/09/1956,11364672138,victoria.romero@yahoo.com,Medife,450680774671
192,Molina,Diego,35677987,30/01/1986,11208823580,diego.molina@hotmail.com,Galeno,183048961344
193,Diaz,Carlos,43376522,28/11/1953,11686526158,carlos.diaz@gmail.com,Accord Salud,969518506968
194,Sanchez,Jorge,36762395,13/12/1976,11445425726,jorge.sanchez@gmail.com,Omint,948091137844
195,Perez,Laura,35854111,31/05/1950,11115966135,laura.perez@yahoo.com,Accord Salud,922473952191
196,Diaz,Lucia,40433915,24/10/1953,11830329729,lucia.diaz@hotmail.com,PAMI,996378430722
197,Silva,Lucia,40018106,13/04/1974,11822649896,lucia.silva@gmail.com,Omint,570008010057
198,Romero,Lucia,20650585,28/07/1944,11695717694,lucia.romero@outlook.com,Omint,579826365520
199,Martinez,Jorge,24312300,01/01/1982,11497186135,jorge.martinez@outlook.com,Sancor Salud,343261553426
200,Martinez,Ana,28311491,16/05/1974,11833461212,ana.martinez@gmail.com,Accord Salud,853956544519
